央视频道,#genre#
CHC家庭影院,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch18120514091718394256.rsc/89087_Uni.sdp
CHC动作电影,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch18120514100139517699.rsc/89012_Uni.sdp
CHC高清电影,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch18120514102191199606.rsc/89076_Uni.sdp
金鹰纪实,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15050917541337365144.rsc/89089_Uni.sdp
iPanda爱熊猫,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15111015450571726043.rsc/88997_Uni.sdp
IPTV5+,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch17120418224162657206.rsc/89082_Uni.sdp
爱上4K,rtsp://124.128.255.245:1554/iptv/import/Tvod/iptv/001/001/ch16062014270602375204.rsc/72891_Uni.sdp
体育赛事,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch19120615375703234003.rsc/89611_Uni.sdp
CETV-1,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17120418204481298161.rsc/89096_Uni.sdp
CETV-2,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17120417211408620162.rsc/89101_Uni.sdp
CETV-4,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17120418055568047747.rsc/89109_Uni.sdp
金鹰卡通,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11122400412227153064.rsc/89049_Uni.sdp
北京卫视少儿频道,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118400576795406.rsc/89128_Uni.sdp
优漫卡通,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11042914374730524823.rsc/89044_Uni.sdp
哈哈炫动,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11122400404197907033.rsc/89083_Uni.sdp
嘉佳卡通,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15050917541249689380.rsc/89122_Uni.sdp
IPTV收视指南,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11061217035832697899.rsc/89055_Uni.sdp
IPTV热播剧场,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch11060317301148954080.rsc/89062_Uni.sdp
IPTV经典电影,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch11060317313622161494.rsc/89090_Uni.sdp
IPTV少儿动画,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch11061217221377842336.rsc/89094_Uni.sdp
IPTV相声小品,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch13031310531244319435.rsc/89120_Uni.sdp
IPTV魅力时尚,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch11061217095691862636.rsc/89033_Uni.sdp
IPTV野外频道,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch13031310535009021862.rsc/89121_Uni.sdp
IPTV法治频道,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch13031310542255942002.rsc/89078_Uni.sdp
IPTV谍战剧场,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch13031310523562855603.rsc/89130_Uni.sdp
IPTV3+,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11061217211688091136.rsc/89041_Uni.sdp
IPTV5+,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11060317323358720349.rsc/89003_Uni.sdp
IPTV6+,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11061217105732492560.rsc/89058_Uni.sdp
IPTV8+,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11061217231007675294.rsc/89135_Uni.sdp
家有购物,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch18102919143814079235.rsc/89119_Uni.sdp
先锋乒羽,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch18120514104123291864.rsc/89057_Uni.sdp
GTV网络棋牌,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch18120514110394578528.rsc/89051_Uni.sdp
新动漫,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch18120514112382335432.rsc/89126_Uni.sdp
中华美食,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch18120514123619960309.rsc/89007_Uni.sdp
城市剧场,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15090914573308932938.rsc/89134_Uni.sdp
音乐现场,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15090914592145596821.rsc/89079_Uni.sdp
军旅剧场,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15090915023023311866.rsc/89100_Uni.sdp
足球,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15090915041757410943.rsc/89026_Uni.sdp
古装剧场,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15090915062673403232.rsc/89088_Uni.sdp
军事,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15090915223200641077.rsc/89063_Uni.sdp
地理,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch15090915235866760733.rsc/89066_Uni.sdp
高网,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch15090915431474482038.rsc/89093_Uni.sdp
精选,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15090915484219614929.rsc/89040_Uni.sdp
